image_file,status,worm_id,confidence,raw_mean_intensity,background_median,corrected_mean_intensity
微信图片_20260527191129_4233_56.jpg,detected,1,0.7696309089660645,8.839429634221947,1.0,7.839429634221947
微信图片_20260527191129_4233_56.jpg,detected,2,0.7175031304359436,11.793066770860467,1.0,10.793066770860467
微信图片_20260527191129_4233_56.jpg,detected,3,0.6975459456443787,9.951424725151448,1.0,8.951424725151448
微信图片_20260527191129_4233_56.jpg,detected,4,0.6948161721229553,8.748955625696249,1.0,7.748955625696249
微信图片_20260527191129_4233_56.jpg,detected,5,0.6877619624137878,9.43236752573881,1.0,8.43236752573881
微信图片_20260527191129_4233_56.jpg,detected,6,0.6769958734512329,9.437436125305487,1.0,8.437436125305487
微信图片_20260527191129_4233_56.jpg,detected,7,0.6691908240318298,8.850413597463588,1.0,7.850413597463588
微信图片_20260527191129_4233_56.jpg,detected,8,0.6545982956886292,14.787067045880459,1.0,13.787067045880459
微信图片_20260527191129_4233_56.jpg,detected,9,0.6429527401924133,10.80355740922473,1.0,9.80355740922473
微信图片_20260527191129_4233_56.jpg,detected,10,0.6209472417831421,10.817378778570975,1.0,9.817378778570975
微信图片_20260527191129_4233_56.jpg,detected,11,0.5860643982887268,11.616964242975444,1.0,10.616964242975444
微信图片_20260527191129_4233_56.jpg,detected,12,0.5439432263374329,9.516330816317412,1.0,8.516330816317412
